,bin,ass2ref,taxid,species,genus,family,order,class,phylum,superkingdom,organism_name
159,2_binette_bin54.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
160,2_binette_bin225.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
161,4_binette_bin129.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
162,3_binette_bin167.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
163,3_binette_bin181.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
164,2_binette_bin220.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
165,3_binette_bin174.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
166,2_binette_bin192.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
167,8_binette_bin76.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
168,3_binette_bin46.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
169,3_binette_bin45.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
170,4_binette_bin139.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
171,2_binette_bin7.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
172,3_binette_bin171.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
173,2_binette_bin21.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
174,3_binette_bin165.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
175,2_binette_bin5.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
176,2_binette_bin59.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
177,7_binette_bin82.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
178,3_binette_bin81.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
179,3_binette_bin84.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
180,4_binette_bin110.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
181,4_binette_bin12.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
182,3_binette_bin178.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
183,2_binette_bin13.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
184,4_binette_bin4.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
185,7_binette_bin72.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
186,2_binette_bin56.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
187,4_binette_bin111.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
188,7_binette_bin65.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
189,3_binette_bin3.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
190,3_binette_bin53.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
191,2_binette_bin33.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
192,4_binette_bin122.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
193,2_binette_bin38.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
194,4_binette_bin124.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
195,6_binette_bin20.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
196,7_binette_bin83.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
197,4_binette_bin127.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
198,2_binette_bin61.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
199,2_binette_bin85.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
200,2_binette_bin74.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
201,2_binette_bin48.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
202,3_binette_bin17.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
203,4_binette_bin20.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
204,2_binette_bin87.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
205,7_binette_bin81.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
206,3_binette_bin140.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
207,3_binette_bin224.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
208,4_binette_bin123.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
209,3_binette_bin62.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
210,2_binette_bin19.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
211,2_binette_bin15.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
212,2_binette_bin1.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
213,4_binette_bin133.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
214,3_binette_bin100.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
215,3_binette_bin24.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
216,2_binette_bin49.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
217,4_binette_bin112.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
218,7_binette_bin77.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
219,3_binette_bin9.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
220,3_binette_bin16.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
221,3_binette_bin158.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
222,4_binette_bin14.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
223,8_binette_bin80.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
224,3_binette_bin179.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
225,3_binette_bin200.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
226,2_binette_bin28.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
227,6_binette_bin35.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
228,2_binette_bin203.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
229,3_binette_bin20.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
230,2_binette_bin65.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
231,4_binette_bin132.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
232,3_binette_bin225.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
233,3_binette_bin121.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
234,3_binette_bin204.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
235,4_binette_bin113.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
236,7_binette_bin63.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
237,3_binette_bin21.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
238,3_binette_bin64.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
239,4_binette_bin15.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
240,7_binette_bin15.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
241,2_binette_bin3.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
242,3_binette_bin173.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
243,3_binette_bin94.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
244,2_binette_bin14.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
245,2_binette_bin217.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
246,3_binette_bin187.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
247,3_binette_bin185.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
248,4_binette_bin136.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
249,3_binette_bin34.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
250,3_binette_bin152.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
251,2_binette_bin212.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
252,3_binette_bin42.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
253,3_binette_bin195.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
254,2_binette_bin204.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
255,7_binette_bin73.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
256,2_binette_bin25.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
257,3_binette_bin47.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
258,3_binette_bin182.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
259,3_binette_bin33.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
260,2_binette_bin189.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
261,3_binette_bin205.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
262,2_binette_bin27.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
263,2_binette_bin6.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
264,2_binette_bin188.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
265,7_binette_bin69.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
266,3_binette_bin209.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
267,3_binette_bin215.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
268,7_binette_bin4.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
269,8_binette_bin81.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
270,8_binette_bin4.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
271,4_binette_bin103.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
272,3_binette_bin27.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
273,3_binette_bin194.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
274,2_binette_bin207.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
275,3_binette_bin199.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
276,3_binette_bin88.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
277,8_binette_bin8.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
278,2_binette_bin4.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
279,4_binette_bin117.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
280,3_binette_bin144.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
281,3_binette_bin48.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
282,3_binette_bin129.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
283,3_binette_bin71.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
284,3_binette_bin25.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
285,2_binette_bin40.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
286,2_binette_bin57.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
287,2_binette_bin99.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
288,3_binette_bin166.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
289,3_binette_bin212.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
290,4_binette_bin10.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
291,2_binette_bin88.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
292,2_binette_bin69.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
293,3_binette_bin218.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
294,2_binette_bin26.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
295,8_binette_bin75.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
296,3_binette_bin127.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
297,3_binette_bin156.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
298,3_binette_bin163.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
299,3_binette_bin133.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
300,8_binette_bin3.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
301,3_binette_bin79.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
302,8_binette_bin86.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
303,2_binette_bin58.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
304,8_binette_bin63.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
305,2_binette_bin62.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
306,3_binette_bin162.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
307,2_binette_bin103.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
